lan,year,med_tilv_tra
vastmanlands_lan,2017,6.1
vastmanlands_lan,2018,
vastmanlands_lan,2019,
vastmanlands_lan,2020,
vastmanlands_lan,2021,
vastmanlands_lan,2022,
vastmanlands_lan,2023,
dalarna_lan,2003,
dalarna_lan,2004,
dalarna_lan,2005,
dalarna_lan,2006,
dalarna_lan,2007,
dalarna_lan,2008,4.7
dalarna_lan,2009,4.8
dalarna_lan,2010,4.9
dalarna_lan,2011,4.9
dalarna_lan,2012,4.9
dalarna_lan,2013,4.8
dalarna_lan,2014,4.7
dalarna_lan,2015,4.6
dalarna_lan,2016,4.7
dalarna_lan,2017,4.7
dalarna_lan,2018,
dalarna_lan,2019,
dalarna_lan,2020,
dalarna_lan,2021,
dalarna_lan,2022,
dalarna_lan,2023,
gavleborg_lan,2003,
gavleborg_lan,2004,
gavleborg_lan,2005,
gavleborg_lan,2006,
gavleborg_lan,2007,
gavleborg_lan,2008,6.2
gavleborg_lan,2009,6.5
gavleborg_lan,2010,6.6
gavleborg_lan,2011,6.5
gavleborg_lan,2012,6.3
gavleborg_lan,2013,6.1
gavleborg_lan,2014,5.9
gavleborg_lan,2015,5.7
gavleborg_lan,2016,5.6
gavleborg_lan,2017,5.5
gavleborg_lan,2018,
gavleborg_lan,2019,
gavleborg_lan,2020,
gavleborg_lan,2021,
gavleborg_lan,2022,
gavleborg_lan,2023,
vasternorrlands_lan,2003,
vasternorrlands_lan,2004,
vasternorrlands_lan,2005,
vasternorrlands_lan,2006,
vasternorrlands_lan,2007,
vasternorrlands_lan,2008,5.6
vasternorrlands_lan,2009,5.7
vasternorrlands_lan,2010,5.8
vasternorrlands_lan,2011,5.7
vasternorrlands_lan,2012,5.7
vasternorrlands_lan,2013,5.8
vasternorrlands_lan,2014,5.8
vasternorrlands_lan,2015,5.8
vasternorrlands_lan,2016,5.8
vasternorrlands_lan,2017,5.8
vasternorrlands_lan,2018,
vasternorrlands_lan,2019,
vasternorrlands_lan,2020,
vasternorrlands_lan,2021,
vasternorrlands_lan,2022,
vasternorrlands_lan,2023,
jamtlands_lan,2003,
jamtlands_lan,2004,
jamtlands_lan,2005,
jamtlands_lan,2006,
jamtlands_lan,2007,
jamtlands_lan,2008,4.3
jamtlands_lan,2009,4.4
jamtlands_lan,2010,4.5
jamtlands_lan,2011,4.3
jamtlands_lan,2012,4.4
jamtlands_lan,2013,4.4
jamtlands_lan,2014,4.3
jamtlands_lan,2015,4.3
jamtlands_lan,2016,4.3
jamtlands_lan,2017,4.3
jamtlands_lan,2018,
jamtlands_lan,2019,
jamtlands_lan,2020,
jamtlands_lan,2021,
jamtlands_lan,2022,
jamtlands_lan,2023,
vasterbottens_lan,2003,
vasterbottens_lan,2004,
vasterbottens_lan,2005,
vasterbottens_lan,2006,
vasterbottens_lan,2007,
vasterbottens_lan,2008,3.6
vasterbottens_lan,2009,3.7
vasterbottens_lan,2010,3.7
vasterbottens_lan,2011,3.7
vasterbottens_lan,2012,3.8
vasterbottens_lan,2013,3.8
vasterbottens_lan,2014,3.7
vasterbottens_lan,2015,3.7
vasterbottens_lan,2016,3.7
vasterbottens_lan,2017,3.7
vasterbottens_lan,2018,
vasterbottens_lan,2019,
vasterbottens_lan,2020,
vasterbottens_lan,2021,
vasterbottens_lan,2022,
vasterbottens_lan,2023,
norrbottens_lan,2003,
norrbottens_lan,2004,
norrbottens_lan,2005,
norrbottens_lan,2006,
norrbottens_lan,2007,
norrbottens_lan,2008,2.9
norrbottens_lan,2009,2.9
norrbottens_lan,2010,2.9
norrbottens_lan,2011,3
norrbottens_lan,2012,2.9
norrbottens_lan,2013,2.9
norrbottens_lan,2014,2.8
norrbottens_lan,2015,2.8
norrbottens_lan,2016,2.7
norrbottens_lan,2017,2.8
norrbottens_lan,2018,
norrbottens_lan,2019,
norrbottens_lan,2020,
norrbottens_lan,2021,
norrbottens_lan,2022,
norrbottens_lan,2023,
n_norrland,2003,
n_norrland,2004,
n_norrland,2005,
n_norrland,2006,
n_norrland,2007,
n_norrland,2008,3.2
n_norrland,2009,3.3
n_norrland,2010,3.3
n_norrland,2011,3.3
n_norrland,2012,3.3
n_norrland,2013,3.3
n_norrland,2014,3.3
n_norrland,2015,3.2
n_norrland,2016,3.2
n_norrland,2017,3.2
n_norrland,2018,
n_norrland,2019,
n_norrland,2020,
n_norrland,2021,
n_norrland,2022,
n_norrland,2023,
s_norrland,2003,
s_norrland,2004,
s_norrland,2005,
s_norrland,2006,
s_norrland,2007,
s_norrland,2008,5.2
s_norrland,2009,5.3
s_norrland,2010,5.4
s_norrland,2011,5.3
s_norrland,2012,5.3
s_norrland,2013,5.3
s_norrland,2014,5.2
s_norrland,2015,5.1
s_norrland,2016,5.1
s_norrland,2017,5
s_norrland,2018,
s_norrland,2019,
s_norrland,2020,
s_norrland,2021,
s_norrland,2022,
s_norrland,2023,
svealand,2003,
svealand,2004,
svealand,2005,
svealand,2006,
svealand,2007,
svealand,2008,6
svealand,2009,6.1
svealand,2010,6.1
svealand,2011,6.3
svealand,2012,6.2
svealand,2013,6.1
svealand,2014,6
svealand,2015,5.9
svealand,2016,5.8
svealand,2017,5.7
svealand,2018,
svealand,2019,
svealand,2020,
svealand,2021,
svealand,2022,
svealand,2023,
gotaland,2003,
gotaland,2004,
gotaland,2005,
gotaland,2006,
gotaland,2007,
gotaland,2008,7
gotaland,2009,7.1
gotaland,2010,7.3
gotaland,2011,7.5
gotaland,2012,7.6
gotaland,2013,7.6
gotaland,2014,7.4
gotaland,2015,7.2
gotaland,2016,7
gotaland,2017,6.7
gotaland,2018,
gotaland,2019,
gotaland,2020,
gotaland,2021,
gotaland,2022,
gotaland,2023,
riket,2003,
riket,2004,
riket,2005,
riket,2006,
riket,2007,
riket,2008,5.2
riket,2009,5.3
riket,2010,5.4
riket,2011,5.4
riket,2012,5.4
riket,2013,5.4
riket,2014,5.3
riket,2015,5.2
riket,2016,5.1
riket,2017,5
riket,2018,
riket,2019,
riket,2020,
riket,2021,
riket,2022,
riket,2023,
