lan,year,ant_kon_ans
gavleborg_lan,2009,857
gavleborg_lan,2010,594
gavleborg_lan,2011,710
gavleborg_lan,2012,709
gavleborg_lan,2013,615
gavleborg_lan,2014,529
gavleborg_lan,2015,563
gavleborg_lan,2016,659
gavleborg_lan,2017,521
gavleborg_lan,2018,588
gavleborg_lan,2019,565
gavleborg_lan,2020,373
gavleborg_lan,2021,265
gavleborg_lan,2022,234
gavleborg_lan,2023,495
vasternorrlands_lan,2003,
vasternorrlands_lan,2004,
vasternorrlands_lan,2005,
vasternorrlands_lan,2006,
vasternorrlands_lan,2007,
vasternorrlands_lan,2008,
vasternorrlands_lan,2009,709
vasternorrlands_lan,2010,524
vasternorrlands_lan,2011,360
vasternorrlands_lan,2012,366
vasternorrlands_lan,2013,547
vasternorrlands_lan,2014,260
vasternorrlands_lan,2015,384
vasternorrlands_lan,2016,416
vasternorrlands_lan,2017,428
vasternorrlands_lan,2018,333
vasternorrlands_lan,2019,408
vasternorrlands_lan,2020,288
vasternorrlands_lan,2021,208
vasternorrlands_lan,2022,605
vasternorrlands_lan,2023,272
jamtlands_lan,2003,
jamtlands_lan,2004,
jamtlands_lan,2005,
jamtlands_lan,2006,
jamtlands_lan,2007,
jamtlands_lan,2008,
jamtlands_lan,2009,594
jamtlands_lan,2010,402
jamtlands_lan,2011,316
jamtlands_lan,2012,255
jamtlands_lan,2013,257
jamtlands_lan,2014,169
jamtlands_lan,2015,166
jamtlands_lan,2016,162
jamtlands_lan,2017,204
jamtlands_lan,2018,197
jamtlands_lan,2019,243
jamtlands_lan,2020,271
jamtlands_lan,2021,93
jamtlands_lan,2022,94
jamtlands_lan,2023,324
vasterbottens_lan,2003,
vasterbottens_lan,2004,
vasterbottens_lan,2005,
vasterbottens_lan,2006,
vasterbottens_lan,2007,
vasterbottens_lan,2008,
vasterbottens_lan,2009,523
vasterbottens_lan,2010,507
vasterbottens_lan,2011,361
vasterbottens_lan,2012,335
vasterbottens_lan,2013,432
vasterbottens_lan,2014,388
vasterbottens_lan,2015,284
vasterbottens_lan,2016,301
vasterbottens_lan,2017,312
vasterbottens_lan,2018,356
vasterbottens_lan,2019,320
vasterbottens_lan,2020,271
vasterbottens_lan,2021,163
vasterbottens_lan,2022,140
vasterbottens_lan,2023,307
norrbottens_lan,2003,
norrbottens_lan,2004,
norrbottens_lan,2005,
norrbottens_lan,2006,
norrbottens_lan,2007,
norrbottens_lan,2008,
norrbottens_lan,2009,593
norrbottens_lan,2010,492
norrbottens_lan,2011,469
norrbottens_lan,2012,711
norrbottens_lan,2013,285
norrbottens_lan,2014,503
norrbottens_lan,2015,291
norrbottens_lan,2016,649
norrbottens_lan,2017,520
norrbottens_lan,2018,600
norrbottens_lan,2019,271
norrbottens_lan,2020,414
norrbottens_lan,2021,89
norrbottens_lan,2022,1788
norrbottens_lan,2023,220
