lan,year,netto_lan
vasterbottens_lan,2007,
vasterbottens_lan,2008,159548.149
vasterbottens_lan,2009,128652.636
vasterbottens_lan,2010,139641.724
vasterbottens_lan,2011,149263.796
vasterbottens_lan,2012,149322.342
vasterbottens_lan,2013,146050.608
vasterbottens_lan,2014,147510.011
vasterbottens_lan,2015,156783.3
vasterbottens_lan,2016,164052.115
vasterbottens_lan,2017,165279.888
vasterbottens_lan,2018,176844.681
vasterbottens_lan,2019,184448.788
vasterbottens_lan,2020,
vasterbottens_lan,2021,
vasterbottens_lan,2022,
vasterbottens_lan,2023,
norrbottens_lan,2003,
norrbottens_lan,2004,
norrbottens_lan,2005,
norrbottens_lan,2006,
norrbottens_lan,2007,
norrbottens_lan,2008,149889.823
norrbottens_lan,2009,133614.836
norrbottens_lan,2010,162844.146
norrbottens_lan,2011,174666.835
norrbottens_lan,2012,177136.261
norrbottens_lan,2013,172879.035
norrbottens_lan,2014,169348.471
norrbottens_lan,2015,162780.244
norrbottens_lan,2016,167049.673
norrbottens_lan,2017,180016.002
norrbottens_lan,2018,193938.637
norrbottens_lan,2019,205488.621
norrbottens_lan,2020,
norrbottens_lan,2021,
norrbottens_lan,2022,
norrbottens_lan,2023,
extra_region,2003,
extra_region,2004,
extra_region,2005,
extra_region,2006,
extra_region,2007,
extra_region,2008,
extra_region,2009,
extra_region,2010,
extra_region,2011,
extra_region,2012,
extra_region,2013,
extra_region,2014,
extra_region,2015,
extra_region,2016,
extra_region,2017,
extra_region,2018,
extra_region,2019,
extra_region,2020,
extra_region,2021,
extra_region,2022,
extra_region,2023,
riket,2003,
riket,2004,
riket,2005,
riket,2006,
riket,2007,
riket,2008,6813752.842
riket,2009,6276024.64
riket,2010,6756623.295
riket,2011,7195909.567
riket,2012,7191817.533
riket,2013,7133321.478
riket,2014,7352656.758
riket,2015,7801263.978
riket,2016,8092753.336
riket,2017,8607706.981
riket,2018,9196726.479
riket,2019,9603078.218
riket,2020,
riket,2021,
riket,2022,
riket,2023,
