lan,year,foradl
gavleborg_lan,2019,7448
gavleborg_lan,2020,6114
gavleborg_lan,2021,6769
gavleborg_lan,2022,
gavleborg_lan,2023,
vasternorrlands_lan,2003,3793
vasternorrlands_lan,2004,4332
vasternorrlands_lan,2005,4565
vasternorrlands_lan,2006,4163
vasternorrlands_lan,2007,5248
vasternorrlands_lan,2008,4877
vasternorrlands_lan,2009,4661
vasternorrlands_lan,2010,5818
vasternorrlands_lan,2011,6971
vasternorrlands_lan,2012,7522
vasternorrlands_lan,2013,6199
vasternorrlands_lan,2014,6452
vasternorrlands_lan,2015,6487
vasternorrlands_lan,2016,5476
vasternorrlands_lan,2017,6439
vasternorrlands_lan,2018,6933
vasternorrlands_lan,2019,7368
vasternorrlands_lan,2020,7161
vasternorrlands_lan,2021,8832
vasternorrlands_lan,2022,
vasternorrlands_lan,2023,
jamtlands_lan,2003,2146
jamtlands_lan,2004,2484
jamtlands_lan,2005,2570
jamtlands_lan,2006,3118
jamtlands_lan,2007,4220
jamtlands_lan,2008,5131
jamtlands_lan,2009,4698
jamtlands_lan,2010,4166
jamtlands_lan,2011,4691
jamtlands_lan,2012,3850
jamtlands_lan,2013,3481
jamtlands_lan,2014,3986
jamtlands_lan,2015,3494
jamtlands_lan,2016,3515
jamtlands_lan,2017,4109
jamtlands_lan,2018,4668
jamtlands_lan,2019,5086
jamtlands_lan,2020,4532
jamtlands_lan,2021,6322
jamtlands_lan,2022,
jamtlands_lan,2023,
vasterbottens_lan,2003,2197
vasterbottens_lan,2004,4287
vasterbottens_lan,2005,4114
vasterbottens_lan,2006,4519
vasterbottens_lan,2007,5453
vasterbottens_lan,2008,7247
vasterbottens_lan,2009,3803
vasterbottens_lan,2010,4285
vasterbottens_lan,2011,4592
vasterbottens_lan,2012,5056
vasterbottens_lan,2013,4986
vasterbottens_lan,2014,4947
vasterbottens_lan,2015,5310
vasterbottens_lan,2016,5479
vasterbottens_lan,2017,5828
vasterbottens_lan,2018,6176
vasterbottens_lan,2019,6381
vasterbottens_lan,2020,6419
vasterbottens_lan,2021,7994
vasterbottens_lan,2022,
vasterbottens_lan,2023,
norrbottens_lan,2003,2379
norrbottens_lan,2004,2594
norrbottens_lan,2005,2455
norrbottens_lan,2006,2914
norrbottens_lan,2007,3492
norrbottens_lan,2008,4328
norrbottens_lan,2009,4253
norrbottens_lan,2010,4278
norrbottens_lan,2011,4821
norrbottens_lan,2012,5863
norrbottens_lan,2013,5651
norrbottens_lan,2014,5418
norrbottens_lan,2015,4708
norrbottens_lan,2016,5034
norrbottens_lan,2017,5660
norrbottens_lan,2018,5977
norrbottens_lan,2019,6037
norrbottens_lan,2020,6085
norrbottens_lan,2021,6814
norrbottens_lan,2022,
norrbottens_lan,2023,
