lan,year,netto_bio_mark
norrbottens_lan,2009,26390.82908
norrbottens_lan,2010,30049.28015
norrbottens_lan,2011,29721.00635
norrbottens_lan,2012,30302.15832
norrbottens_lan,2013,29488.86917
norrbottens_lan,2014,29668.45283
norrbottens_lan,2015,29353.54082
norrbottens_lan,2016,28579.71626
norrbottens_lan,2017,30144.61494
norrbottens_lan,2018,33977.60332
norrbottens_lan,2019,33859.7494
norrbottens_lan,2020,
norrbottens_lan,2021,
norrbottens_lan,2022,
norrbottens_lan,2023,
extra_region,2003,
extra_region,2004,
extra_region,2005,
extra_region,2006,
extra_region,2007,
extra_region,2008,
extra_region,2009,
extra_region,2010,60.11246
extra_region,2011,
extra_region,2012,67.17307
extra_region,2013,
extra_region,2014,69.62097
extra_region,2015,66.36726
extra_region,2016,66.77577
extra_region,2017,77.8035
extra_region,2018,76.58008
extra_region,2019,524.62695
extra_region,2020,
extra_region,2021,
extra_region,2022,
extra_region,2023,
riket,2003,
riket,2004,
riket,2005,
riket,2006,
riket,2007,
riket,2008,803640.35071
riket,2009,761012.72368
riket,2010,831958.54738
riket,2011,844907.06484
riket,2012,825997.12676
riket,2013,796500
riket,2014,809981.40704
riket,2015,834600.58422
riket,2016,856387.64694
riket,2017,902378.16508
riket,2018,962162.68446
riket,2019,1008357.84988
riket,2020,
riket,2021,
riket,2022,
riket,2023,
