lan,year,netto_bio_tja
vasterbottens_lan,2006,
vasterbottens_lan,2007,
vasterbottens_lan,2008,132.592512
vasterbottens_lan,2009,127.063527
vasterbottens_lan,2010,139.198347
vasterbottens_lan,2011,139.556232
vasterbottens_lan,2012,152.452489
vasterbottens_lan,2013,155.445711
vasterbottens_lan,2014,160.374487
vasterbottens_lan,2015,171.098902
vasterbottens_lan,2016,184.206312
vasterbottens_lan,2017,190.113998
vasterbottens_lan,2018,195.583887
vasterbottens_lan,2019,202.939068
vasterbottens_lan,2020,
vasterbottens_lan,2021,
vasterbottens_lan,2022,
vasterbottens_lan,2023,
norrbottens_lan,2003,
norrbottens_lan,2004,
norrbottens_lan,2005,
norrbottens_lan,2006,
norrbottens_lan,2007,
norrbottens_lan,2008,165.388935
norrbottens_lan,2009,158.353404
norrbottens_lan,2010,166.896089
norrbottens_lan,2011,173.32979
norrbottens_lan,2012,176.352538
norrbottens_lan,2013,173.145709
norrbottens_lan,2014,179.665625
norrbottens_lan,2015,189.662045
norrbottens_lan,2016,198.873649
norrbottens_lan,2017,222.660521
norrbottens_lan,2018,235.195325
norrbottens_lan,2019,234.894201
norrbottens_lan,2020,
norrbottens_lan,2021,
norrbottens_lan,2022,
norrbottens_lan,2023,
extra_region,2003,
extra_region,2004,
extra_region,2005,
extra_region,2006,
extra_region,2007,
extra_region,2008,
extra_region,2009,
extra_region,2010,1.583666
extra_region,2011,
extra_region,2012,1.766309
extra_region,2013,
extra_region,2014,1.279448
extra_region,2015,1.251081
extra_region,2016,1.24568
extra_region,2017,1.323868
extra_region,2018,1.564471
extra_region,2019,7.614781
extra_region,2020,
extra_region,2021,
extra_region,2022,
extra_region,2023,
riket,2003,
riket,2004,
riket,2005,
riket,2006,
riket,2007,
riket,2008,8830.656063
riket,2009,8621.508306
riket,2010,9229.277345
riket,2011,9960.239368
riket,2012,10330.810209
riket,2013,10599.125263
riket,2014,10901.295857
riket,2015,11719.552384
riket,2016,12494.241859
riket,2017,13224.686185
riket,2018,13926.824695
riket,2019,13983.830501
riket,2020,
riket,2021,
riket,2022,
riket,2023,
