lan,year,forv_mn_ant
orebro_lan,2014,2599
orebro_lan,2015,2903
orebro_lan,2016,3056
orebro_lan,2017,3371
orebro_lan,2018,3507
orebro_lan,2019,3592
orebro_lan,2020,3602
orebro_lan,2021,3744
orebro_lan,2022,
orebro_lan,2023,
vastmanlands_lan,2003,2073
vastmanlands_lan,2004,2185
vastmanlands_lan,2005,2268
vastmanlands_lan,2006,2396
vastmanlands_lan,2007,2565
vastmanlands_lan,2008,2757
vastmanlands_lan,2009,2651
vastmanlands_lan,2010,2564
vastmanlands_lan,2011,2756
vastmanlands_lan,2012,2786
vastmanlands_lan,2013,2849
vastmanlands_lan,2014,2906
vastmanlands_lan,2015,3043
vastmanlands_lan,2016,2956
vastmanlands_lan,2017,3071
vastmanlands_lan,2018,3239
vastmanlands_lan,2019,3210
vastmanlands_lan,2020,3161
vastmanlands_lan,2021,3554
vastmanlands_lan,2022,
vastmanlands_lan,2023,
dalarna_lan,2003,2457
dalarna_lan,2004,2579
dalarna_lan,2005,2640
dalarna_lan,2006,2774
dalarna_lan,2007,2905
dalarna_lan,2008,3077
dalarna_lan,2009,3132
dalarna_lan,2010,2827
dalarna_lan,2011,3105
dalarna_lan,2012,3204
dalarna_lan,2013,3264
dalarna_lan,2014,3321
dalarna_lan,2015,3340
dalarna_lan,2016,3677
dalarna_lan,2017,3710
dalarna_lan,2018,3929
dalarna_lan,2019,4016
dalarna_lan,2020,3932
dalarna_lan,2021,4000
dalarna_lan,2022,
dalarna_lan,2023,
gavleborg_lan,2003,1392
gavleborg_lan,2004,1516
gavleborg_lan,2005,1544
gavleborg_lan,2006,1790
gavleborg_lan,2007,1946
gavleborg_lan,2008,2205
gavleborg_lan,2009,2312
gavleborg_lan,2010,2506
gavleborg_lan,2011,2681
gavleborg_lan,2012,2762
gavleborg_lan,2013,2805
gavleborg_lan,2014,2829
gavleborg_lan,2015,3086
gavleborg_lan,2016,3202
gavleborg_lan,2017,3338
gavleborg_lan,2018,3539
gavleborg_lan,2019,3597
gavleborg_lan,2020,3563
gavleborg_lan,2021,3620
gavleborg_lan,2022,
gavleborg_lan,2023,
vasternorrlands_lan,2003,1554
vasternorrlands_lan,2004,1615
vasternorrlands_lan,2005,1671
vasternorrlands_lan,2006,1827
vasternorrlands_lan,2007,2040
vasternorrlands_lan,2008,2214
vasternorrlands_lan,2009,2368
vasternorrlands_lan,2010,2464
vasternorrlands_lan,2011,2669
vasternorrlands_lan,2012,2636
vasternorrlands_lan,2013,2826
vasternorrlands_lan,2014,2891
vasternorrlands_lan,2015,3083
vasternorrlands_lan,2016,3119
vasternorrlands_lan,2017,3163
vasternorrlands_lan,2018,3248
vasternorrlands_lan,2019,3360
vasternorrlands_lan,2020,3424
vasternorrlands_lan,2021,3505
vasternorrlands_lan,2022,
vasternorrlands_lan,2023,
jamtlands_lan,2003,1225
jamtlands_lan,2004,1280
jamtlands_lan,2005,1345
jamtlands_lan,2006,1416
jamtlands_lan,2007,1565
jamtlands_lan,2008,1689
jamtlands_lan,2009,1597
jamtlands_lan,2010,1676
jamtlands_lan,2011,1758
jamtlands_lan,2012,1623
jamtlands_lan,2013,1675
jamtlands_lan,2014,1732
jamtlands_lan,2015,1816
jamtlands_lan,2016,1821
jamtlands_lan,2017,1920
jamtlands_lan,2018,2033
jamtlands_lan,2019,2113
jamtlands_lan,2020,2098
jamtlands_lan,2021,2166
jamtlands_lan,2022,
jamtlands_lan,2023,
vasterbottens_lan,2003,1443
vasterbottens_lan,2004,1512
vasterbottens_lan,2005,1515
vasterbottens_lan,2006,1774
vasterbottens_lan,2007,1963
vasterbottens_lan,2008,2179
vasterbottens_lan,2009,2108
vasterbottens_lan,2010,2353
vasterbottens_lan,2011,2475
vasterbottens_lan,2012,2696
vasterbottens_lan,2013,2738
vasterbottens_lan,2014,2827
vasterbottens_lan,2015,3122
vasterbottens_lan,2016,3255
vasterbottens_lan,2017,3361
vasterbottens_lan,2018,3523
vasterbottens_lan,2019,3614
vasterbottens_lan,2020,3635
vasterbottens_lan,2021,3962
vasterbottens_lan,2022,
vasterbottens_lan,2023,
norrbottens_lan,2003,1558
norrbottens_lan,2004,1718
norrbottens_lan,2005,1778
norrbottens_lan,2006,2018
norrbottens_lan,2007,2253
norrbottens_lan,2008,2542
norrbottens_lan,2009,2424
norrbottens_lan,2010,2566
norrbottens_lan,2011,2850
norrbottens_lan,2012,3049
norrbottens_lan,2013,3103
norrbottens_lan,2014,3205
norrbottens_lan,2015,3158
norrbottens_lan,2016,3336
norrbottens_lan,2017,3545
norrbottens_lan,2018,3773
norrbottens_lan,2019,3772
norrbottens_lan,2020,3775
norrbottens_lan,2021,3901
norrbottens_lan,2022,
norrbottens_lan,2023,
