lan,year,forv_kvn_bio
extra_region,2018,
extra_region,2019,
extra_region,2020,
extra_region,2021,
extra_region,2022,
extra_region,2023,
riket,2003,
riket,2004,
riket,2005,
riket,2006,
riket,2007,
riket,2008,80012.386
riket,2009,77048.627
riket,2010,78374.486
riket,2011,84083.996
riket,2012,84252.769
riket,2013,83217.941
riket,2014,83069.618
riket,2015,82756.854
riket,2016,81903.153
riket,2017,83177.691
riket,2018,82098.093
riket,2019,84878.15
riket,2020,
riket,2021,
riket,2022,
riket,2023,
