lan,year,forv_tot
orebro_lan,2012,261704
orebro_lan,2013,263122
orebro_lan,2014,264366
orebro_lan,2015,268586
orebro_lan,2016,274376
orebro_lan,2017,280156
orebro_lan,2018,284010
orebro_lan,2019,289770
orebro_lan,2020,287340
orebro_lan,2021,294367
orebro_lan,2022,300574
orebro_lan,2023,
vastmanlands_lan,2003,
vastmanlands_lan,2004,
vastmanlands_lan,2005,
vastmanlands_lan,2006,
vastmanlands_lan,2007,
vastmanlands_lan,2008,226080
vastmanlands_lan,2009,216452
vastmanlands_lan,2010,221582
vastmanlands_lan,2011,227218
vastmanlands_lan,2012,229710
vastmanlands_lan,2013,232582
vastmanlands_lan,2014,232962
vastmanlands_lan,2015,235592
vastmanlands_lan,2016,238370
vastmanlands_lan,2017,241784
vastmanlands_lan,2018,245802
vastmanlands_lan,2019,249976
vastmanlands_lan,2020,245799
vastmanlands_lan,2021,251754
vastmanlands_lan,2022,257039
vastmanlands_lan,2023,
dalarna_lan,2003,
dalarna_lan,2004,
dalarna_lan,2005,
dalarna_lan,2006,
dalarna_lan,2007,
dalarna_lan,2008,254996
dalarna_lan,2009,246806
dalarna_lan,2010,251138
dalarna_lan,2011,255980
dalarna_lan,2012,257400
dalarna_lan,2013,258144
dalarna_lan,2014,258852
dalarna_lan,2015,260786
dalarna_lan,2016,264238
dalarna_lan,2017,267840
dalarna_lan,2018,269438
dalarna_lan,2019,271724
dalarna_lan,2020,267679
dalarna_lan,2021,271693
dalarna_lan,2022,274262
dalarna_lan,2023,
gavleborg_lan,2003,
gavleborg_lan,2004,
gavleborg_lan,2005,
gavleborg_lan,2006,
gavleborg_lan,2007,
gavleborg_lan,2008,251574
gavleborg_lan,2009,240704
gavleborg_lan,2010,245904
gavleborg_lan,2011,251310
gavleborg_lan,2012,251008
gavleborg_lan,2013,251438
gavleborg_lan,2014,251114
gavleborg_lan,2015,252660
gavleborg_lan,2016,256368
gavleborg_lan,2017,260270
gavleborg_lan,2018,262508
gavleborg_lan,2019,263586
gavleborg_lan,2020,261048
gavleborg_lan,2021,266352
gavleborg_lan,2022,267932
gavleborg_lan,2023,
vasternorrlands_lan,2003,
vasternorrlands_lan,2004,
vasternorrlands_lan,2005,
vasternorrlands_lan,2006,
vasternorrlands_lan,2007,
vasternorrlands_lan,2008,226722
vasternorrlands_lan,2009,218452
vasternorrlands_lan,2010,219326
vasternorrlands_lan,2011,223118
vasternorrlands_lan,2012,225490
vasternorrlands_lan,2013,226794
vasternorrlands_lan,2014,226930
vasternorrlands_lan,2015,228750
vasternorrlands_lan,2016,231212
vasternorrlands_lan,2017,233174
vasternorrlands_lan,2018,233298
vasternorrlands_lan,2019,234160
vasternorrlands_lan,2020,230245
vasternorrlands_lan,2021,231700
vasternorrlands_lan,2022,234558
vasternorrlands_lan,2023,
jamtlands_lan,2003,
jamtlands_lan,2004,
jamtlands_lan,2005,
jamtlands_lan,2006,
jamtlands_lan,2007,
jamtlands_lan,2008,119442
jamtlands_lan,2009,115832
jamtlands_lan,2010,117504
jamtlands_lan,2011,121228
jamtlands_lan,2012,121482
jamtlands_lan,2013,122670
jamtlands_lan,2014,122496
jamtlands_lan,2015,123948
jamtlands_lan,2016,125748
jamtlands_lan,2017,127904
jamtlands_lan,2018,128440
jamtlands_lan,2019,129056
jamtlands_lan,2020,126550
jamtlands_lan,2021,129678
jamtlands_lan,2022,132625
jamtlands_lan,2023,
vasterbottens_lan,2003,
vasterbottens_lan,2004,
vasterbottens_lan,2005,
vasterbottens_lan,2006,
vasterbottens_lan,2007,
vasterbottens_lan,2008,242136
vasterbottens_lan,2009,233626
vasterbottens_lan,2010,239848
vasterbottens_lan,2011,247276
vasterbottens_lan,2012,251766
vasterbottens_lan,2013,253836
vasterbottens_lan,2014,254124
vasterbottens_lan,2015,256250
vasterbottens_lan,2016,260120
vasterbottens_lan,2017,263388
vasterbottens_lan,2018,265756
vasterbottens_lan,2019,271180
vasterbottens_lan,2020,266873
vasterbottens_lan,2021,272752
vasterbottens_lan,2022,280810
vasterbottens_lan,2023,
norrbottens_lan,2003,
norrbottens_lan,2004,
norrbottens_lan,2005,
norrbottens_lan,2006,
norrbottens_lan,2007,
norrbottens_lan,2008,232080
norrbottens_lan,2009,223842
norrbottens_lan,2010,229868
norrbottens_lan,2011,237926
norrbottens_lan,2012,242150
norrbottens_lan,2013,245496
norrbottens_lan,2014,246670
norrbottens_lan,2015,247310
norrbottens_lan,2016,248998
norrbottens_lan,2017,248530
norrbottens_lan,2018,249520
norrbottens_lan,2019,247860
norrbottens_lan,2020,242796
norrbottens_lan,2021,246497
norrbottens_lan,2022,250329
norrbottens_lan,2023,
